名称,Name,游戏简介,About the game,媒体评价,Reviews
激光诱饵,Lazerbait,Lazerbait 是一款以虚拟现实为背景的免费街机策略游戏，目标很简单：占领所有行星以建造更多船只并摧毁敌人！玩家会看到一个行星系统的神一样的视角。玩家拥有的每个星球都会随着时间的推移产生船只。使用运动控制器，玩家可以指挥他们的舰队从一个星球到另一个星球，试图占领尽可能多的星球。玩家拥有的行星越多，玩家可以生产的飞船就越多。最终，玩家可以建立由数百艘飞船组成的舰队，从而引发令人敬畏的大规模太空战斗。玩家将受到多达 7 个 AI 角色的挑战，他们也正在努力占领所有行星并消灭他们的敌人。该游戏具有高度可配置性，允许玩家选择游戏速度、地图大小、飞船限制、AI 玩家数量和 AI 难度。地图是针对每场比赛的程序随机生成的，因此没有两场比赛是相同的。全局统计数据和排行榜会随着时间的推移保留每个难度设置下摧毁的船只总数和击败的 AI 玩家总数。,"Lazerbait is a free arcade strategy game set in virtual reality with one simple goal: capture all the planets to build more ships and destroy your enemies! The player is presented with a god-like perspective of a system of planets. Each planet that a player owns will produce ships over time. Using the motion controllers, the player can direct their fleet of ships from planet to planet in attempt to capture as many planets as possible. The more planets a player owns, the more ships the player can produce. Eventually players can build up fleets of many hundreds of ships that lead to awesome massive space battles. The player is challenged by up to 7 A.I. characters in free-for-all style who are also working hard to capture all the planets and eliminate their enemies. The game is highly configurable allowing players to choose the game speed, map size, ship limits, number of A.I. players, and A.I. difficulty. Maps are procedurally generated at random for each game played so no two games will ever be the same. Global stats and leaderboards are kept over time for the total number of ships destroyed and the total number of A.I. players defeated at each difficulty setting.","“毫不夸张地说,这已经成为我玩得最多的 Vive 游戏。”- Beta 测试员 “伙计。这个游戏*******太棒了。- Beta 测试员 “我绝对没有玩完,它完全是我需要的游戏。”","“Without exaggerating, this has become my most played Vive game.” - Beta Tester “Dude. This game is ******* amazing.” - Beta Tester “I'm absolutely not done playing, it's totally the kind of game I need.” - Beta Tester"
黑暗侦探,The Darkside Detective,穿上你的风衣，调整你的第六感，加入 Darkside Division，他们调查双子湖的彻头彻尾的离奇、彻头彻尾的危险和令人困惑的案件。嗜血的触手、黑手党僵尸和偶尔丢失的袜子都无法与 The Darkside Detective 相提并论。邪教徒爬行的地方，恶魔居住的地方，神秘学的地方......神秘学？*咳咳* 这就是你找到侦探弗朗西斯·麦昆 （Francis McQueen） 的地方，他是资金不足的 Darkside Division 的首席调查员。当邪恶笼罩着双子湖城的门口时——地狱，即使它只是在店面徘徊或在阴凉的小巷里闲逛——他就在那里，准备调查其他人不会调查的案件。他是 The Darkside Detective。在这部屡获殊荣的喜剧系列冒险剧的 COMPLETE SEASON ONE 系列中，侦探 McQueen 和他的搭档 Patrick Dooley 警官调查困扰双子湖及其丰富多彩的市民的案件。指向眼前的一切，点击神秘而诡异的地点，并使用您的智慧（或借用朋友的智慧）来平息这些案件！,"Grab your trench coat, tune your sixth sense and join the Darkside Division as they investigate the outright bizarre, the downright dangerous and the confusing cases of Twin Lakes. Flesh-hungry tentacles, mafian zombies, and the occasional missing sock are no match for The Darkside Detective. Where cultists crawl, where demons dwell, where the occult… occults? *ahem* That's where you’ll find Detective Francis McQueen, the lead investigator of the criminally underfunded Darkside Division. When evil darkens the doorsteps of Twin Lakes City – hell, even when it just loiters around shop fronts or hangs out in shady alleyways – he’s there, ready to investigate the cases that nobody else will. He is The Darkside Detective. The COMPLETE SEASON ONE collection of this multi award-winning comedic serial adventure sees Detective McQueen and his sidekick, Officer Patrick Dooley, investigating cases plaguing Twin Lakes and its colorful citizens. Point at everything in sight, click around mysterious and eerie locations, and use your wits (or borrow a friend’s) to lay these cases to rest!","“...我玩过的最有趣、最有价值的 Points and Click 游戏之一。9 – Richard Seagrave - GameSpew “它可能是一款自称的'微冒险'游戏,但尽管风格和表现形式简单,但 The Darkside Detective 却有很多心”8 – Chloi Rad - IGN “[之一] 有史以来最好的点击式冒险游戏” Leah Williams - Kotaku","“...one of the most entertaining and rewarding points and click games I've ever played.” 9 – Richard Seagrave - GameSpew “It may be a self-described “micro-adventure” game, but despite its simple style and presentation, The Darkside Detective has a lot of heart” 8 – Chloi Rad - IGN “[One of] the best point and click adventure games of all time” Leah Williams - Kotaku"
求生者,The Survivalists,岛上充满活力！随着您探索和揭开它的秘密，您新发现的家将随着昼夜循环而变化。猎杀（或被猎杀）动物以获取食物和一系列神话中的敌人，他们不一定很高兴看到你。从神秘的陌生人那里获得任务，或者发现他们被冲上岸。准备好跋涉进入程序生成的荒野，那里有各种生物群落，每个玩家都是独一无二的冒险。发现太多岛屿生活的危险，或者只是想与朋友分享您的建筑专业知识？The Survivalists 为您服务！完成联合冒险，获得战利品，交易并最终共同生存，与你和最多三名漂流者一起探索奇幻岛屿。如果你需要一个建筑商、一个伐木工人甚至一个士兵，岛上的猴子可以被驯服和训练，帮助你完成日常任务，或者支持你突袭到狂热的营地！Mimic System 意味着您厚颜无耻的新朋友可以执行各种功能，猴子管理成为在岛上挑战中生存的关键。生存的秘诀是充分利用您周围的资源。无论是拼凑一把原始的斧头来劈柴，还是混合一杯清爽的水果冰沙来缓解饥饿感，您都可以发现食谱并扩大您在食物、物品或结构制作树方面的选择。正在寻找一把史诗般的剑挂在你的小屋墙上，或者想把侵略的敌人夷为平地？您寻找的可能是散布在岛上的众多寺庙之一。然而，获得战利品并不容易，因此任何潜在的掠夺者都需要为他们的寻宝冒险做好准备。,"The island is alive! Your newfound home will change with day/night cycles as you explore and uncover its secrets. Hunt (or be hunted by!) animals for food and an array of mythical enemies, who aren’t necessarily pleased to see you. Get quests from a Mysterious Stranger or find them washed up on the shore. Prepare to trek into a procedurally generated wilderness, with a variety of biomes, for an adventure that’s unique to every player. Finding the perils of island life too much or just looking to share your building expertise with friends? The Survivalists has you covered! Complete joint adventures, gain loot, trade and ultimately survive together and as you and up to three fellow castaways explore fantastical islands. If you’re in need of a builder, a lumberjack or even a soldier, the monkeys on the island can be tamed and trained to help you with everyday tasks or back you up on raids to a fanatic camp! The Mimic System means a wide variety of functions can be performed by your cheeky new friends, with monkey management becoming key to surviving the island’s challenges. The secret to survival is to make the most of the resources around you. Whether that’s piecing together a primitive axe to chop wood or mixing up a refreshing fruit smoothie to keep the hunger at bay, you can discover recipes and expand your options across food, item or structure crafting trees. Looking for an epic sword to hang on your hut wall or want to lay waste to encroaching hostiles? What you seek could be in one of the many temples scattered around the island. However, getting your hands on the loot won’t be easy so any would-be raiders will need to prepare for their treasure hunting escapades.","“Team17 再次做到了这一点,带来了另一个设计可爱、非常全面的有趣体验。The Survivalists 是我玩过的最好的制作游戏之一,也是我今年最喜欢的游戏之一。9/10 – The Digital Fix “一款美丽而有益的游戏,最适合与朋友分享,但也是一种完整的单人体验” 9/10 – 电影、游戏和科技 “如果你发现自己......寻找很棒的东西,The Survivalists 应该可以满足您的需求。8/10 – Xbox 中心","“Team17 have done it again with another endearingly designed, vastly comprehensive fun experience. The Survivalists is one of the best crafting games that I have played and one of my favourite games of the year.” 9/10 – The Digital Fix “a beautiful and rewarding game that is best when shared with friends but also as a full on solo experience” 9/10 – Movies, Games and Tech “If you find yourself... looking for something great, The Survivalists should have you covered.” 8/10 – Xbox Hub"
战胜痛苦,Overcoming Pain,你喜欢武器和弹药吗？你喜欢动作吗？你喜欢血液和成群结队的敌人中的肾上腺素吗？这个游戏里应有尽有！特点： + 位置选择（城市-白天、城市-夜晚、工厂-白天、工厂-夜晚）+ 3 个难度级别 + 3 种游戏模式（“清理区域”、“波浪”、“生存”）+ 大量敌人（坏士兵、坏机器人、僵尸）+ 带上友善士兵的可能性 + 灵活的设置（你想遇到哪些敌人或一次遇到所有敌人） + 杀死敌人的完整武器库（从刀到手榴弹） + 长度选择“波浪”模式下的波浪 + “生存”模式下的生存计时器（混合）+ 所有设置都有效一起并在所有地点 + 动作音乐和逼真的声音 + 高品质的纹理和漂亮的图片 + 成就 + 排行榜（“生存（混合）”模式下的生存时间）任务很简单：如果你想活下去，不要让自己被杀死。,"Do you like weapons and ammunition? Do you like action? Do you like adrenaline in the blood and crowds of enemies? There is everything In this game! Features: + location choice (City-day, City-night, Factory-day, Factory-Night) + 3 difficulty levels + 3 game modes ('Clearing the Area', 'Waves', 'Survival') + tons of enemies (bad soldiers, bad robots, zombies) + possibility to take a frendly soldier + flexible setting (which enemies do you want to meet or all at once) + complete arsenal for killing enemies (from a knife to a grenade) + length selection Waves in 'Waves' mode + survival timer in 'Survival' mode (mix) + all settings work together and on all locations + action music and realistic sounds + high quality textures and nice picture + Achievements + Leaderboard (Survival Time in 'Survival (mix)' mode) The task is simple: if you want to live, do not let yourself be killed.","“Мясной шутерок, в котором Вам необходимо отстреливать зомби.В игре имеется три режима: 'Зачистка', 'Волны', 'Выживание', а так же много других настроек для генерации карты.” Халява.“漂亮整洁的僵尸生存游戏” @7200","“Мясной шутерок, в котором Вам необходимо отстреливать зомби. В игре имеется три режима: 'Зачистка', 'Волны', 'Выживание', а так же много других настроек для генерации карты.” Халява. “Pretty neat zombie survival game” @7200"
风之地2,Windlands 2,Windlands 2 返回 Windlands 的世界，独自或与朋友一起。手持抓钩和弓箭，在堕落世界的废墟中翱翔。踏上摧毁巨型泰坦的旅程，将世界从古老的危险中拯救出来。- 抓钩专注于跑酷平台的运动。- 各种广阔的区域，值得探索。- 单人游戏或最多四人合作。- 新的弓箭武器，可在史诗般的泰坦战斗中与钩爪一起使用。- 带有 NPC 和世界事件的全语音故事情节。- 完整的原创原声带 - 可选的基于技能的速度奔跑比赛和排行榜的收集挑战。- 多种高级模式，包括“无钩”、“一生一命”和“钩任何东西”。- 收藏品、复活节彩蛋和成就，用新的钩子作为完成者的奖励来奖励探索。,"Windlands 2 Return to the world of Windlands, alone or with friends. Armed with grappling hooks and a bow, soar through the ruins of a fallen world. Embark on a journey to destroy the gigantic titans and save the world from an ancient danger. - Grappling hooks focused locomotion with parkour platforming. - Variety of expansive areas that reward exploration. - Single player or up to four player Co-Op. - New Bow Weapon to use alongside the hooks in epic titan battles. - Fully voiced storyline with NPCs and world events. - Full Original Soundtrack - Optional skill based Speed Run Races and collection challenges with Leaderboards. - Multiple advanced modes, including 'no hooks', 'one life' and 'hook anything'. - Collectables, Easter Eggs and Achievements that reward exploration with new hooks as rewards for completers.","“我们被精致流畅的运动机制所打动,这非常有趣！”经过测试（投影）“Windlands 2 是今年迄今为止最好的 VR 游戏之一。”Virtual Reality Oasis “一款很棒的 VR 游戏,可让您在虚拟现实中成为蜘蛛侠！”吵闹的家伙",“We're impressed by the polished and fluid movement mechanic it's ton of fun!” Tested (Projections) “Windlands 2 is one of the best VR titles of the year so far.” Virtual Reality Oasis “An awesome VR game that allows you to become spiderman in Virtual Reality!” RowdyGuy
树精冒险,Woodle Tree Adventures,Woodle Tree Adventures 是一款老式平台游戏，具有朗朗上口且独特的艺术风格！您会发现 90 年代游戏中的所有经典元素和新的有趣想法。探索总共 6 个世界，用您在旅途中找到的神奇水滴拯救土地，带回和平与平衡，最终成为新英雄！在游戏世界中旅行的感觉令人耳目一新。如果您想放松，Woodle Tree 是一款很棒的游戏，配乐和艺术风格有助于营造宁静的基调。即使您不是该类型的粉丝，这款游戏仍然非常值得考虑，即使只是为了见证美丽的游戏世界。如果您喜欢 Banjo Kazooie 和 Mario 64 等游戏，请不要害怕，Woodle Tree 将带您回到过去的美好时光！整个游戏玩法是艺术游戏和平台游戏的混合体，适合成人和儿童玩，为所有灵魂带来快乐。,"Woodle Tree Adventures is an old school platform game with a catchy and unique art style! You will find all the classical elements from the 90's games and new interesting ideas. Explore a total of 6 worlds and save the lands with the magical water drops you'll find through your journey, bringing back peace and balance and finally becoming the new hero! The feeling of traveling around the game world is refreshingly peaceful. Woodle Tree is a great game to play if you want to relax, and the soundtrack and art style help giving a serene tone. Even if you’re not a fan of the genre, this game is still very much worth considering, even if only to witness the beautiful game world. If you loved games like Banjo Kazooie and Mario 64, never fear, Woodle Tree will take you back to the good old days! The whole gameplay is an hybrid between an art game and a platformer and is meant to be played by adults and children and to bring happiness to all souls.","“Woo-dle Tree 非常漂亮,现在出来了” 独立游戏杂志 “美妙的眼睛釉料” 7.5/10 – IGN Italia “可爱的 3D 平台游戏” DIYGamer",“Woo-dle Tree Is Inde-scrib-ably Pretty And Out Now” Indie Game Mag “Wonderful glaze for your eyes” 7.5/10 – IGN Italia “An Adorable 3D Platformer” DIYGamer
弥诺陶洛斯,The Minotaur,四个人类已经接受了古希腊众神的考验，他们将在迷宫中面对牛头怪。为了生存，他们必须展示他们的智慧并解决迷宫内的陷阱，同时避开牛头怪。他们的目标是到达最后一个房间，那里会显示出口，他们终于可以自由了。受经典 MS-DOS 游戏“The Beast”的启发，我们创造了一款具有新图形和游戏模式的游戏。玩 The Minotaur，您会对那些老式游戏的怀旧之情，在这些游戏中，您唯一的目标就是尽可能地走得更远或获得最高分。该游戏还具有完整的游戏手柄兼容性，因此如果您不喜欢在键盘上玩，请不要担心;)牛头怪还包括几种游戏模式： 街机：这是经典模式，玩家必须以越来越高的难度通过 30 个关卡，包括不同的牛头怪、牛头怪蛋等。时间攻击：与街机类似，玩家需要在一定时间内完成所有 30 个关卡。杀死牛头怪或它们的蛋会提供额外的时间。无尽：如果您认为自己击败了游戏，请尝试此模式的无尽关卡。真的，这种模式永远不会结束！One Life 你是贱民？用这种模式证明你一击必死。本地合作：如果您在击败野兽时遇到困难，请向朋友寻求帮助！或者家人，甚至您的狗可以帮助您。最多四名玩家，所以越多越好。本地 VS 这种游戏模式允许玩家与自己对抗。非常适合挑战您的朋友并竞争成为最好的，或者只是通过杀死您的熟人来放松。试炼：玩家需要在一系列手工制作的关卡中找到自己的路。他们中的一些甚至可能只有四个方块来杀死牛头怪（？？-'?)?.关卡编辑器：厌倦了玩经典关卡？对挑战感到厌烦？没问题，您将能够创建自己的关卡贴图。,"Four humans have been put to test by the Gods of the Ancient Greece, they shall face the minotaurs in the labyrinth. To survive, the must show their wisdom and solve the traps inside the labyrinth, all while avoiding the minotaurs. Their goal is to reach the last room, where the exit will be shown and they can finally be free. Inspired by the classic MS-DOS game “The Beast”, we have created a game with new graphics and game modes. Playing The Minotaur you will feel the nostalgia for those old school games where your only goal was to get as far as possible or the highest score. The game also has full gamepad compatibility, so do not worry if you don’t like playing on keyboard ;) The Minotaur also includes several game modes: Arcade: It’s the classic mode, where the player has to fight his way through 30 levels with increasing difficulty, including different minotaurs, minotaur eggs, etc. Time Attack: Similar to Arcade, the player needs to finish the level all 30 levels in a certain amount of time. Killing the minotaurs or their eggs will grant extra time. Endless: If you think you beat the game, try this mode with the endless levels. Really, this mode never end! One Life You are the untouchable human? Demonstrate that with this mode where you die by one hit. Local Co-op: If you have trouble defeating the beasts, ask a friend for help! Or a family member, or maybe even your dog can help you. Up to four players, so the more the merrier. Local VS This game mode allows the players to fight against themselves. Great for challenging your friends and competing to be the very best, or simply relax by killing your acquaintances. Trials: Players will need to find their ways through a series of hand-made levels. Some of them might even have only four blocks to kill the minotaurs (??'-'?)?. Level Editor: Tired of playing the classic levels? Bored by the challenges? No problem, you will be able to create your own level maps.","“Admito que yo no soy un jugador muy fan de los juegos de puzzles puros.Pero con The Minotaur mi concepción de ellos ha cambiado.”Abandon Pixel “Con The Minotaur nos encontramos con un juego de corte retro en 2D, con una banda sonora genial, en el que lo que más destaca es la simpleza de sus mecánicas.”Game IT “Ojalá tuviesen merchandising, porque sin dudas me compraría un peluche del ”adorable“ minotauro.”Freakelitex","“Admito que yo no soy un jugador muy fan de los juegos de puzzles puros. Pero con The Minotaur mi concepción de ellos ha cambiado.” Abandon Pixel “Con The Minotaur nos encontramos con un juego de corte retro en 2D, con una banda sonora genial, en el que lo que más destaca es la simpleza de sus mecánicas.” Game IT “Ojalá tuviesen merchandising, porque sin dudas me compraría un peluche del “adorable” minotauro.” Freakelitex"
Go Fight Fantastic,Go Fight Fantastic,Go Fight Fantastic 是一款 1-3 人砍杀游戏，由一群星际走私者主演，由他们的太空犬船长 Bowie 领导。当他们在执行 Bird Planet 任务时偶然遭遇入侵时，他们成为这个曾经和平世界的唯一希望。在合作模式（本地和在线）中组队，或在单人游戏中在不同角色之间即时切换。故事模式快节奏。轻松愉快。充满活力的手绘。在险恶的沼泽地、陡峭的山峰和风景如画的定居点中战斗，并在沿途遇到富有想象力的朋友和敌人。通过一定程度的随机关卡构成、敌人遭遇和升级掉落，每次游戏都会增加独特的触感。部落模式：启动鲍伊船长的战斗模拟器，在无休止的外星人袭击中犁地，攀登在线排行榜！利用你所有角色的力量来获胜，在波浪之间选择道具，然后重复。你活得越久，它就越具有挑战性。Build Your Crew 扮演四个不同的角色，每个角色都代表自己的游戏风格，并使用整个游戏中发现的持续陨石升级来定制他们。想要一个可以造成严重伤害的治疗师吗？还是一个拿着毒刃的 Striker？快来吧！特点： 从最适合您游戏风格的 4 个角色中进行选择 与 1 到 3 名在线或本地玩家进行快节奏的战斗 探索 Bird Planet 美丽、手绘充满活力的世界 将英雄的攻击组合成毁灭性的组合 使用陨石升级来提高您的统计数据并改变您的能力效果 在无尽的部落模式中测试您的技能，对抗一波又一波的敌人 加入社区 加入我们的官方 Discord 服务器，让我们了解您对游戏的看法！快来闲逛，参加比赛并获取有关开发的最新消息。,"Go Fight Fantastic is a 1-3 player hack n’ slash starring a crew of interstellar smugglers, led by their space-dog captain Bowie. When they stumble into an invasion during a mission to Bird Planet, they become the only hope of this once peaceful world. Team up in co-op (local and online) or switch between the different characters on-the-fly in solo play. Story Mode Fast-paced. Light-hearted. Vibrantly hand-drawn. Fight across treacherous marshlands, steep summits and picturesque settlements and meet an imaginative cast of friends and foes along the way. A unique touch is added to each playthrough by a degree of randomized level composition, enemy encounters, and upgrade drops. Horde Mode Fire up captain Bowie’s combat simulator and plow through an endless alien assault to climb the online leaderboards! Use the strengths of all your characters to prevail, pick powerups between the waves, and repeat. The longer you stay alive, the more challenging it gets. Build Your Crew Play as four different characters, each representing their own playstyle, and tailor them with persistent Meteorite upgrades found throughout the game. Want a Healer who can deal some serious damage? Or a Striker with poisonous blades? Have at it! Features: Choose from 4 characters that best suits your gaming style Engage in fast-paced combat with 1 to three players online or locally Explore the beautiful, hand-drawn vibrant world of Bird Planet Combine heroes' attacks into devastating combos Use Meteorites Upgrades to boost your stats and change the effects of your abilities Test your skills against waves of enemies in the endless Horde Mode Join the Community Join our official Discord Server and let us know what you think of the game! Come hang out, join contests and get the latest news about the development.","“Go Fight Fantastic 有趣、快速,并且充满了有趣的角色、环境和战斗体验” 4.7/5 – GamesCreed “如果您正在寻找一款独特而舒适的砍杀游戏,Go Fight Fantastic 可能是您的绝佳选择” 9/10 – WWGDB “Go Fight Fantastic 正是在合作沙发上大放异彩。”正面 – 橡胶鸡","“Go Fight Fantastic is fun, fast, and filled with interesting characters, environments, and battles to experience” 4.7/5 – GamesCreed “if you are looking for a unique yet cozy hack-and-slash game, Go Fight Fantastic might just be a fantastic choice for you” 9/10 – WWGDB “It is in the co-op couch that Go Fight Fantastic shines.” Positive – Rubber Chicken"
假如我是人工智能,Big Brother Is Shaping You,"单人游戏,Steam 成就,Steam 集换式卡牌,Steam 云,家庭共享","单人游戏,Steam 成就,Steam 集换式卡牌,Steam 云,家庭共享","“'大多数反乌托邦游戏都设置在一个已经很可怕的世界里,但这款游戏是基于我们的世界是如何慢慢变得可怕的。真正应该吓到人的是,这个游戏中描述的事件一直在我们周围发生。坚持。。。真的有人在监视你吗？向日葵游戏 “'游戏玩法很差,但意义丰富。所以,我把这个游戏称为互动文学小说,或者说互动社会科幻小说。评论 “'这个游戏可能不会帮助你放松,但它肯定可以让你思考得更好。'回顾","“'Most dystopian games are set in an already-terrible world, but this game is based on how our world is slowly becoming a terrible one. What should really scare people is that the events described in this game are happening around us all the time. Hold on... could someone really be spying on you?'” 向日葵游戏 “'Poor in gameplay but rich in meaning. So, I call this game a piece of interactive literary fiction, or interactive social science fiction.'” Review “'This game might not help you relax, but it can certainly make you think better.'” Review"
远古前线,Ancient Frontier,全新的电影回合制策略！Fair Weather Studios 非常高兴地宣布 Ancient Frontier ！Ancient Frontier 是一款回合制策略角色扮演游戏，背景设定在遥远的将来的深空。玩家将探索、征服、掠夺或解放太空的边界。宇宙建立在我们的第一个项目 Bladestar 中建立的故事之上，但通过交战派系、双重穿越公司、私掠者和银河政府，它更深入。控制庞大的主力舰舰队和支援船，并在 Ancient Frontier 丰富多面的故事中导航 - 战争的未来。两个成熟的战役 动态的主动回合制战斗 超过 35 艘独特的船只等你指挥 通过在广泛的科技树中解锁技术来自定义你的游戏风格 两个主要派系和三个子派系 在三个不同的资源中战斗的大型详细太空地图 三种不同的资源可供管理 数十种不同的武器系统和能力等你控制 你会保卫边境吗？你喜欢 Ancient Frontier 吗？快来 Steel Shadows 来体验全新的战役吧！,"Brand new cinematic turn based strategy! Fair Weather Studios is very happy to announce Ancient Frontier ! Ancient Frontier is a turn-based strategy role-playing game set in deep space in the far future. Players will explore, conquer, pillage, or liberate the frontiers of space. The universe is built off of the story established in our first project, Bladestar, but takes it much deeper with warring factions, double crossing corporations, privateers, and galactic governments. Take control of massive fleets of capital ships and support craft and navigate the rich multi-faceted story of Ancient Frontier- the future of war. Two full fledged campaigns Dynamic initiative-based turn-based combat Over 35 unique ships to command Customize your play style by unlocking technologies in an extensive Tech Tree Two major factions and three sub-factions Large, detailed space maps to fight across Three different resources to manage Dozens of different weapon systems and abilities to control Will you defend the frontier? Do you like Ancient Frontier ? Check out Steel Shadows for a whole new campaign!","“在 Ancient Frontier 中投入数十个小时很容易,总的来说,我很享受玩游戏的时光” 8 – Chalgyr's Game Room “如果你喜欢传统的、六边形的回合制策略,那么你没有理由不喜欢这个,而且有很多事情要经历。”75 – 老毛发的游戏玩家 “这款游戏是一个很好的例子,展示了游戏开发者在有机会创造他们真正热衷的东西时的能力。”抢先体验游戏","“It is easy to sink dozens of hours into Ancient Frontier, and by and large I enjoyed my time with the game” 8 – Chalgyr's Game Room “If you like traditional, hexy turn based strategy there’s no reason you won’t enjoy this and there’s quite a lot of it to go through.” 75 – Old Grizzled Gamers “This game is an excellent example of what game developers are capable of when they are given a chance to create something they truly care passionately about.” Early Access Gaming"
死亡之地,Dead Ground,重新构想塔防！Dead Ground 是一款程序生成的塔防游戏，带有 Rogue 类元素。每次游戏都将提供随机生成的枪支、技能和增强。您必须旅行、收集废料、饮水、管理您的库存并升级您的基地才能生存！明智地放置和升级塔楼，并在这款快节奏的游戏中使用你的英雄进一步保卫它，动作与策略完美结合。您将面临永久死亡、许多残酷的敌人、艰难的 Boss 战以及更多更多！程序生成的关卡 - 每次游戏都是独一无二的！大量随机战利品 - 枪支、技能、增强 管理和升级您的基础 Boss 战！随机事件 解锁新英雄和神器以进一步自定义游戏 Permadeath！,"Tower defense reimagined! Dead Ground is a procedurally generated tower defense game with rogue-like elements. Each playthrough will offer randomly generated guns, skills and augments. You'll have to travel, collect scrap, water, manage your inventory and upgrade your base to survive! Place and upgrade the towers wisely, and use your hero to further defend it in this fast-paced game, a perfect blend of action and strategy. You will face permadeath, lots of brutal enemies, tough boss fights and MUCH, MUCH MORE! Procedurally generated levels - each playthrough is unique! Tons of randomized loot - guns, skills, augments Manage and upgrade your base Boss fights! Random events Unlock new heroes and artifacts to further customize the game Permadeath!","“我越是全身心投入到 Dead Ground 的战斗中,我就越发现自己在说,'再试一次。'8 – 积压批评者","“The more I threw myself into Dead Ground’s combat, the more I found myself saying, “Just one more go.”” 8 – Backlog Critic"
双陆棋闪电战,Backgammon Blitz,西洋双陆棋的背影......砰的一声！西洋双陆棋受到数百万人的喜爱，玩了几个世纪，是一款与其他游戏截然不同的双人策略游戏。目标很简单：争先恐后地让你的跳棋离开棋盘。西洋双陆棋看似深奥的规则和节奏使其成为休闲玩家和老手的最爱。无论是单人、本地、在线、多人游戏，还是在疯狂的闪电战模式中轰炸：一次品尝，您就会被吸引住。以华丽的风格呈现 - 利用尖端技术 - 这个版本的西洋双陆棋不仅仅是对游戏的忠实改编，它是一个你想伸手去触摸的世界，一个你想放松的地方和氛围。从学生毕业到硕士，或从老手毕业......炫耀！特征：？真实、身临其境的西洋双陆棋游戏？令人惊叹的高清照片逼真的视觉效果？在本地和在线挑战您的朋友 ？使用 Quick Play 与对手实时配对 ？通过在线排名排行榜挑战全球挑战者 ？异步游戏 ？玩家之间的游戏内语音聊天 ？闪电战模式通过有趣的道具增加街机刺激？初学者教程 ？采用 Alexandra Llewellyn 的独家板设计？,"Backgammon's back... with a bang! Loved by millions, played for centuries, backgammon is a two-player strategy game quite unlike any other. The goal is simple: race to get your checkers off the board first. The deceptively deep rules and rhythm of backgammon has secured it as a favorite among casual and veteran players alike. Whether in single, local, online, multiplayer or blasting through the madness of Blitz mode: one taste and you'll be hooked. Rendered in a gorgeous style - harnessing cutting-edge technology - this version of backgammon isn't merely a faithful adaptation of the game it's a world you want to reach out and touch, a place and atmosphere you want to relax in. Graduate from pupil to master, or veteran to.... show-off! Features: ? Authentic, immersive Backgammon game play ? Stunning HD photo realistic visuals ? Challenge your friends locally and online ? Pair-up with opponents in real-time with Quick Play ? Take on challengers across the Globe with online ranking leader boards ? Asynchronous game play ? In-game Voice-Chat between players ? Blitz Mode adds arcade excitement with fun power-ups ? Tutorials for beginners ? Featuring exclusive board design from Alexandra Llewellyn ?","“就基础游戏而言,Backgammon Blitz 并没有与历史悠久的经典游戏混淆——如果您愿意,您可以选择所有奇怪的额外规则来实施（其中绝大多数都是关于潮湿的加倍立方体）。它所做的是以美丽的风格呈现游戏——每个棋盘都经过精心制作,配有单独设计的笔尖、骰子和那个老生常谈的立方体。GameSpew “这是对西洋双陆棋游戏的非常好的解释/模拟。”8/10 – ZeePond","“In terms of the base game, Backgammon Blitz doesn’t mess around with the time-honoured classic – you’ll have your pick of all the bizarre extra rules to implement if you wish (the vast majority of which are all about the sodding doubling cube). What it does do is present the game in beautiful style – each of the boards are stunningly well-crafted, complete with individually designed nibs, dice and that old favourite: the doubling cube.” GameSpew “This is a very good interpretation /simulation of the backgammon game.” 8/10 – ZeePond"
